"school" "class" "student" "y"
"1" 1 1 1 51.5085971399094
"2" 1 1 2 52.9191138775829
"3" 1 1 3 51.8869471171633
"4" 1 1 4 53.2464101082142
"5" 1 1 5 53.3138542619842
"6" 1 1 6 53.7753984646343
"7" 1 1 7 52.3219198128397
"8" 1 1 8 51.7363700728852
"9" 1 1 9 52.1359749503224
"10" 1 2 1 47.7293495749074
"11" 1 2 2 49.2468886570893
"12" 1 2 3 50.8527538420524
"13" 1 2 4 50.1400445462668
"14" 1 2 5 50.6063166270947
"15" 1 3 1 46.4807732548577
"16" 1 3 2 46.8187230931604
"17" 1 3 3 47.3101941349864
"18" 1 3 4 46.8217243565494
"19" 1 3 5 48.0148791442961
"20" 1 3 6 46.2967362876343
"21" 1 4 1 49.8075914206049
"22" 1 4 2 49.532905209229
"23" 1 4 3 47.3690951983144
"24" 1 4 4 49.4678545207413
"25" 1 4 5 46.2821090674461
"26" 1 5 1 53.5295142429925
"27" 1 5 2 52.8706753638868
"28" 2 1 1 47.9465033828635
"29" 2 1 2 50.3263821349978
"30" 2 1 3 50.2570156389604
"31" 2 1 4 48.750216193087
"32" 2 1 5 51.1974104122551
"33" 2 1 6 49.6321402853112
"34" 2 1 7 51.4121314355652
"35" 2 1 8 49.8094585007348
"36" 2 2 1 56.3935290947215
"37" 2 2 2 54.0289854044089
"38" 2 2 3 54.0440786824229
"39" 2 3 1 53.3750717212553
"40" 2 3 2 51.4381884736782
"41" 2 4 1 52.5197478191452
"42" 2 4 2 51.530802608393
"43" 2 4 3 51.9118069421937
"44" 2 4 4 53.5607421787278
"45" 2 5 1 49.7619135947957
"46" 2 5 2 50.1847106113175
"47" 2 5 3 50.6085966089275
"48" 2 5 4 50.6561783970627
"49" 2 5 5 51.2540339935845
"50" 2 5 6 52.7847197645521
"51" 2 5 7 49.9579639441006
"52" 2 5 8 53.1358848569029
"53" 2 5 9 50.7352134284488
"54" 2 6 1 57.7608191578199
"55" 2 6 2 55.9181101051384
"56" 2 6 3 56.2844886296246
"57" 2 6 4 57.5712673842561
"58" 2 6 5 54.6834288978843
"59" 2 6 6 56.7434712916704
"60" 2 6 7 56.3808668079633
"61" 2 6 8 56.672910254918
"62" 2 7 1 51.6142707341254
"63" 2 7 2 49.0068040355399
"64" 2 7 3 51.7180303672112
"65" 2 7 4 50.5260847339256
"66" 2 7 5 50.5533250680133
"67" 2 7 6 51.1829068471221
"68" 2 8 1 52.9013146171124
"69" 2 8 2 52.6728461902329
"70" 2 8 3 52.9425126983307
"71" 2 8 4 54.2691264192928
"72" 2 8 5 52.7699713590068
"73" 2 8 6 52.2020351378805
"74" 2 9 1 57.3292544914223
"75" 2 9 2 53.860200281877
"76" 2 9 3 55.1462316124132
"77" 2 9 4 54.8276296488095
"78" 2 9 5 53.5653578903148
"79" 2 9 6 55.4236922218098
"80" 2 9 7 55.9141723873901
"81" 2 9 8 54.9486487418061
"82" 2 9 9 54.0833255884246
"83" 2 9 10 54.4909109899197
"84" 2 9 11 53.0426387751081
"85" 3 1 1 49.7697701772157
"86" 3 1 2 48.9376660762208
"87" 3 1 3 49.7219100253188
"88" 3 1 4 49.1159527435731
"89" 3 1 5 50.491810576959
"90" 3 1 6 49.5601704962479
"91" 3 2 1 51.663442717812
"92" 3 2 2 49.2415643628208
"93" 3 2 3 48.9227641825765
"94" 3 2 4 47.9655964143002
"95" 3 2 5 49.1670843614951
"96" 3 2 6 47.9832568996752
"97" 3 3 1 50.2676245132048
"98" 3 3 2 48.6693789692354
"99" 3 3 3 50.1675344340075
"100" 3 3 4 49.3325448467045
"101" 3 3 5 48.1482649762653
"102" 3 4 1 49.0533512188261
"103" 3 4 2 48.493103013317
"104" 3 4 3 46.6748054547153
"105" 3 4 4 47.6656201345708
"106" 3 4 5 46.8534948418743
"107" 3 5 1 47.0629765943004
"108" 3 5 2 48.1727151292479
"109" 3 5 3 48.5528023928138
"110" 3 5 4 48.5965674929935
"111" 3 6 1 47.0227803546397
"112" 3 6 2 46.190146058167
"113" 3 6 3 43.0189676561661
"114" 4 1 1 49.8558307919759
"115" 4 1 2 50.2098508593675
"116" 4 1 3 49.8068270290764
"117" 4 1 4 48.1210132462977
"118" 4 1 5 49.7801028461107
"119" 4 1 6 50.2890685691893
"120" 4 1 7 47.8452060283984
"121" 4 1 8 49.8463299337625
"122" 4 1 9 51.7717653454758
"123" 4 2 1 46.2827002576531
"124" 4 2 2 48.7278508922583
"125" 4 2 3 47.5907525702571
"126" 4 2 4 46.5267919375283
"127" 4 2 5 47.0090849221731
"128" 4 2 6 47.9419438668036
"129" 4 2 7 47.5231859635456
"130" 4 2 8 46.543800448445
